symbol,asset_id,event_time,price_usd,open_price_usd,min_price_usd_24h,max_price_usd_24h,volume_24h,market_cap_usd,change_pct_24h
BTC,bitcoin,2024-01-07T16:44:00Z,46491.89411,43896.722354,41603.155407,47855.924083,2896567383.472,1902205137850.47,1.6413
LINK,chainlink,2024-01-06T12:31:00Z,2221.026164,2152.248549,2096.390907,2353.041183,1595554178.701,1822818335099.75,-20.834
LINK,chainlink,2024-01-03T10:17:00Z,94892.958301,96118.888765,89625.360683,98391.623849,2018392756.732,380755207804.247,4.6511
AAVE,aave,2024-01-04T12:43:00Z,45612.854008,46371.3905,43191.786158,47950.696023,1373334825.623,330764830965.384,0.0613
XRP,ripple,2024-01-04T22:58:00Z,55552.418259,56085.850726,52762.429183,58543.368828,474830753.407,197223140247.628,21.647
ADA,cardano,2024-01-06T06:24:00Z,42581.220309,44765.339458,41664.56551,45056.785272,254859142.679,270143968611.015,8.062
ETH,ethereum,2024-01-05T03:02:00Z,21296.537022,21643.74593,20913.277781,22323.862434,747700126.989,603882461891.108,13.2361
XRP,ripple,2024-99-99T00:00:00Z,51807.546672,51806.149111,51744.01822,54279.600522,1823246468.888,717563555595.115,-1.896
LINK,chainlink,2024-01-06T12:10:00Z,59764.232472,57656.685252,55297.683936,60297.632156,431833462.809,623864780081.268,19.1924
AAVE,aave,2024-01-06T01:27:00Z,235.718604,249.34546,227.913643,255.057329,1904046466.11,32862516871.951,20.729
BTC,bitcoin,2024-01-03T12:33:00Z,47825.555929,50706.352743,47521.532923,54407.470928,330827530.669,1565412260240.454,-10.1708
LINK,chainlink,2024-01-03T14:44:00Z,66169.022942,68558.764567,61346.130314,66552.271733,1364501151.974,1982050001822.646,8.6531
SOL,solana,2024-01-05T05:25:00Z,31270.602111,30514.302865,30083.678412,32991.097549,2769475734.246,311484244631.722,11.5944
DOT,polkadot,2024-01-05T15:36:00Z,34095.064842,35652.095308,33751.300487,36195.860707,4858622283.244,1423651237168.404,6.5982
,ripple,2024-01-01T00:10:00Z,77284.96976,81236.570405,76470.953229,83998.976288,1105066619.848,1437850524736.391,-16.161
ETH,ethereum,2024-01-01T21:21:00Z,54921.562522,53366.812653,53171.871404,55807.162798,109361154.017,-92851.74203248425,-17.1317
SOL,solana,2024-01-04T02:45:00Z,53321.615961,53762.862463,51174.977446,57169.011061,3396190300.692,1269954606246.543,18.0862
DOT,polkadot,2024-01-07T09:03:00Z,93473.2534,91471.816842,88711.880548,95878.666557,2063377887.54,347406574598.566,-16.343
